Anio;Mes;GasolinaSuper;GasolinaRegular;Diesel;Fechas;Super_Arima;Regular_Arima;Diesel_Arima;Super_SARIMAX;Regular_SARIMAX;Diesel_SARIMAX;Super_EXP;Regular_EXP;Diesel_EXP
2000;1;308156.82;202645.2;634667.06;1/01/2000;308156.82;202645.2;634667.06;308156.82;202645.2;634667.06;308156.82;202645.2;634667.06
2000;2;307766.31;205530.96;642380.66;1/02/2000;307766.31;205530.96;642380.66;307766.31;205530.959999999;642380.659999999;307766.31;205530.959999999;642380.659999999
2000;3;331910.29;229499.56;699807.25;1/03/2000;331910.29;229499.56;699807.25;331910.289999999;229499.56;699807.25;331910.289999999;229499.56;699807.25
2000;4;315648.08;210680.4;586803.98;1/04/2000;315648.08;210680.4;586803.98;315648.08;210680.399999999;586803.98;315648.08;210680.399999999;586803.98
2000;5;319667.97;208164.34;656948.2;1/05/2000;319667.97;208164.34;656948.2;319667.97;208164.34;656948.2;319667.97;208164.34;656948.2
2000;6;300347.7;195088.74;570919.88;1/06/2000;300347.7;195088.74;570919.88;300347.7;195088.739999999;570919.88;300347.7;195088.739999999;570919.88
2000;7;308305.93;204556.77;576436.02;1/07/2000;308305.93;204556.77;576436.02;308305.93;204556.77;576436.02;308305.93;204556.77;576436.02
2000;8;323011.86;218388.51;593770.77;1/08/2000;323011.86;218388.51;593770.77;323011.86;218388.509999999;593770.77;323011.86;218388.509999999;593770.77
2000;9;326455.72;213906.96;590145.4;1/09/2000;326455.72;213906.96;590145.4;326455.719999999;213906.959999999;590145.399999999;326455.719999999;213906.959999999;590145.399999999
2000;10;323843.63;213606.65;641113.36;1/10/2000;323843.63;213606.65;641113.36;323843.629999999;213606.649999999;641113.36;323843.629999999;213606.649999999;641113.36
2000;11;320788.08;209227.48;657086.3;1/11/2000;320788.08;209227.48;657086.3;320788.08;209227.479999999;657086.299999999;320788.08;209227.479999999;657086.299999999
2000;12;366987.56;230020.7;673282.26;1/12/2000;366987.56;230020.7;673282.26;366987.56;230020.7;673282.26;366987.56;230020.7;673282.26
2001;1;373963.96;177776.5;566101.99;1/01/2001;373963.96;177776.5;566101.99;373963.959999999;177776.5;566101.989999999;373963.959999999;177776.5;566101.989999999
2001;2;243091.07;123115.99;489525.8;1/02/2001;243091.07;123115.99;489525.8;243091.07;123115.99;489525.799999999;243091.07;123115.99;489525.799999999
2001;3;312084.38;161726.42;575559.68;1/03/2001;312084.38;161726.42;575559.68;312084.38;161726.419999999;575559.679999999;312084.38;161726.419999999;575559.679999999
2001;4;285054.89;127338.74;437745.42;1/04/2001;285054.89;127338.74;437745.42;285054.889999999;127338.74;437745.42;285054.889999999;127338.74;437745.42
2001;5;300913.67;168730.19;552609.13;1/05/2001;300913.67;168730.19;552609.13;300913.669999999;168730.19;552609.129999999;300913.669999999;168730.19;552609.129999999
2001;6;333217.19;152899.09;497855.26;1/06/2001;333217.19;152899.09;497855.26;333217.189999999;152899.089999999;497855.259999999;333217.189999999;152899.089999999;497855.259999999
2001;7;195071.86;136299.13;302350.02;1/07/2001;195071.86;136299.13;302350.02;195071.859999999;136299.13;302350.02;195071.859999999;136299.13;302350.02
2001;8;268153.26;139365.07;464159.13;1/08/2001;268153.26;139365.07;464159.13;268153.259999999;139365.07;464159.13;268153.259999999;139365.07;464159.13
2001;9;308439.07;233643.75;321952.94;1/09/2001;308439.07;233643.75;321952.94;308439.07;233643.75;321952.939999999;308439.07;233643.75;321952.939999999
2001;10;305102.28;141550.22;438989.55;1/10/2001;305102.28;141550.22;438989.55;305102.279999999;141550.219999999;438989.549999999;305102.279999999;141550.219999999;438989.549999999
2001;11;256638.19;165841.46;440245.35;1/11/2001;256638.19;165841.46;440245.35;256638.19;165841.459999999;440245.35;256638.19;165841.459999999;440245.35
2001;12;277145.05;149217.67;479983.27;1/12/2001;277145.05;149217.67;479983.27;277145.05;149217.67;479983.27;277145.05;149217.67;479983.27
2002;1;271479;178585.93;500041.32;1/01/2002;271479;178585.93;500041.32;271478.999999999;178585.93;500041.319999999;271478.999999999;178585.93;500041.319999999
2002;2;365657.75;144447.25;686923.83;1/02/2002;365657.75;144447.25;686923.83;365657.75;144447.25;686923.829999999;365657.75;144447.25;686923.829999999
2002;3;246292.6;104673.64;432538.46;1/03/2002;246292.6;104673.64;432538.46;246292.599999999;104673.64;432538.46;246292.599999999;104673.64;432538.46
2002;4;310256.3;190339;424667.36;1/04/2002;310256.3;190339;424667.36;310256.3;190339;424667.359999999;310256.3;190339;424667.359999999
2002;5;363311.76;194830.1;497781.66;1/05/2002;363311.76;194830.1;497781.66;363311.759999999;194830.1;497781.659999999;363311.759999999;194830.1;497781.659999999
2002;6;250123.19;137050.8;496826.62;1/06/2002;250123.19;137050.8;496826.62;250123.189999999;137050.8;496826.62;250123.189999999;137050.8;496826.62
2002;7;428842.8;222408;636727.84;1/07/2002;428842.8;222408;636727.84;428842.8;222407.999999999;636727.84;428842.8;222407.999999999;636727.84
2002;8;298280.33;143795;346225;1/08/2002;298280.33;143795;346225;298280.33;143795;346224.999999999;298280.33;143795;346224.999999999
2002;9;331053.7;156956.9;638933.22;1/09/2002;331053.7;156956.9;638933.22;331053.699999999;156956.899999999;638933.22;331053.699999999;156956.899999999;638933.22
2002;10;352055.5;195426.8;703749.81;1/10/2002;352055.5;195426.8;703749.81;352055.499999999;195426.799999999;703749.81;352055.499999999;195426.799999999;703749.81
2002;11;291188.76;153185.7;573289.5;1/11/2002;291188.76;153185.7;573289.5;291188.76;153185.7;573289.5;291188.76;153185.7;573289.5
2002;12;440677.81;167596.71;678749.64;1/12/2002;440677.81;167596.71;678749.64;440677.81;167596.709999999;678749.639999999;440677.81;167596.709999999;678749.639999999
2003;1;425185.5;228269.5;797344.38;1/01/2003;425185.5;228269.5;797344.38;425185.5;228269.5;797344.379999999;425185.5;228269.5;797344.379999999
2003;2;443849.85;214490.7;765912.659999999;1/02/2003;443849.85;214490.7;765912.659999999;443849.85;214490.699999999;765912.659999999;443849.85;214490.699999999;765912.659999999
2003;3;363352.66;161257.48;693942.31;1/03/2003;363352.66;161257.48;693942.31;363352.66;161257.479999999;693942.309999999;363352.66;161257.479999999;693942.309999999
2003;4;335444.69;189824.89;873103.1;1/04/2003;335444.69;189824.89;873103.1;335444.69;189824.889999999;873103.1;335444.69;189824.889999999;873103.1
2003;5;459025.69;269981.86;625190.08;1/05/2003;459025.69;269981.86;625190.08;459025.69;269981.859999999;625190.08;459025.69;269981.859999999;625190.08
2003;6;372486.53;182254.23;671882.83;1/06/2003;372486.53;182254.23;671882.83;372486.529999999;182254.229999999;671882.829999999;372486.529999999;182254.229999999;671882.829999999
2003;7;400922.97;133668.2;822014.55;1/07/2003;400922.97;133668.2;822014.55;400922.97;133668.2;822014.549999999;400922.97;133668.2;822014.549999999
2003;8;292365.04;169903.86;494087.13;1/08/2003;292365.04;169903.86;494087.13;292365.04;169903.859999999;494087.13;292365.04;169903.859999999;494087.13
2003;9;398192.16;177217.53;614913.68;1/09/2003;398192.16;177217.53;614913.68;398192.159999999;177217.53;614913.679999999;398192.159999999;177217.53;614913.679999999
2003;10;260219.92;181668.03;433084.99;1/10/2003;260219.92;181668.03;433084.99;260219.919999999;181668.03;433084.99;260219.919999999;181668.03;433084.99
2003;11;393951.96;205624.08;627189.78;1/11/2003;393951.96;205624.08;627189.78;393951.96;205624.08;627189.779999999;393951.96;205624.08;627189.779999999
2003;12;296780.15;161477.73;745524.88;1/12/2003;296780.15;161477.73;745524.88;296780.149999999;161477.729999999;745524.879999999;296780.149999999;161477.729999999;745524.879999999
2004;1;368235.14;173427.23;762385.45;1/01/2004;368235.14;173427.23;762385.45;368235.14;173427.23;762385.449999999;368235.14;173427.23;762385.449999999
2004;2;281891.97;147939.23;460947.5;1/02/2004;281891.97;147939.23;460947.5;281891.97;147939.229999999;460947.499999999;281891.97;147939.229999999;460947.499999999
2004;3;486880.82;275539.38;772128.26;1/03/2004;486880.82;275539.38;772128.26;486880.82;275539.38;772128.26;486880.82;275539.38;772128.26
2004;4;415426;245156.34;809194.95;1/04/2004;415426;245156.34;809194.95;415425.999999999;245156.339999999;809194.95;415425.999999999;245156.339999999;809194.95
2004;5;350052.95;178387.8;634209.64;1/05/2004;350052.95;178387.8;634209.64;350052.95;178387.8;634209.64;350052.95;178387.8;634209.64
2004;6;311238.01;133341;461381.79;1/06/2004;311238.01;133341;461381.79;311238.01;133340.999999999;461381.789999999;311238.01;133340.999999999;461381.789999999
2004;7;249710.69;152075.75;467154.31;1/07/2004;249710.69;152075.75;467154.31;249710.69;152075.75;467154.309999999;249710.69;152075.75;467154.309999999
2004;8;434578.12;208592.85;669462.53;1/08/2004;434578.12;208592.85;669462.53;434578.119999999;208592.85;669462.53;434578.119999999;208592.85;669462.53
2004;9;420550.29;218499.24;714039.85;1/09/2004;420550.29;218499.24;714039.85;420550.29;218499.239999999;714039.849999999;420550.29;218499.239999999;714039.849999999
2004;10;366886.3;201907.67;655715.05;1/10/2004;366886.3;201907.67;655715.05;366886.3;201907.669999999;655715.049999999;366886.3;201907.669999999;655715.049999999
2004;11;434710.94;215838.32;726697.879999999;1/11/2004;434710.94;215838.32;726697.879999999;434710.94;215838.32;726697.879999999;434710.94;215838.32;726697.879999999
2004;12;433149.96;227094.71;781266.61;1/12/2004;433149.96;227094.71;781266.61;433149.96;227094.71;781266.609999999;433149.96;227094.71;781266.609999999
2005;1;257867.99;202374.33;663058.79;1/01/2005;257867.99;202374.33;663058.79;257867.989999999;202374.33;663058.79;257867.989999999;202374.33;663058.79
2005;2;306660.39;178104.72;683664.39;1/02/2005;306660.39;178104.72;683664.39;306660.389999999;178104.72;683664.39;306660.389999999;178104.72;683664.39
2005;3;431907.81;217667.69;778645.07;1/03/2005;431907.81;217667.69;778645.07;431907.81;217667.69;778645.069999999;431907.81;217667.69;778645.069999999
2005;4;534151.810000001;234492.03;708164.74;1/04/2005;534151.810000001;234492.03;708164.74;534151.81;234492.029999999;708164.74;534151.81;234492.029999999;708164.74
2005;5;378616.3;192734.4;875087.619999999;1/05/2005;378616.3;192734.4;875087.619999999;378616.299999999;192734.4;875087.619999999;378616.299999999;192734.4;875087.619999999
2005;6;537398.43;243343.68;1041016.72;1/06/2005;537398.43;243343.68;1041016.72;537398.43;243343.68;1041016.71999999;537398.43;243343.68;1041016.71999999
2005;7;363410.9;175946.3;770731.74;1/07/2005;363410.9;175946.3;770731.74;363410.9;175946.3;770731.74;363410.9;175946.3;770731.74
2005;8;566618.55;173810.38;815435.199999999;1/08/2005;566618.55;173810.38;815435.199999999;566618.549999999;173810.379999999;815435.199999999;566618.549999999;173810.379999999;815435.199999999
2005;9;193484.5;81015.300000000;229764.74;1/09/2005;193484.5;81015.300000000;229764.74;193484.5;81015.3;229764.739999999;193484.5;81015.3;229764.739999999
2005;10;528877.09;145325.65;671848.94;1/10/2005;528877.09;145325.65;671848.94;528877.09;145325.649999999;671848.939999999;528877.09;145325.649999999;671848.939999999
2005;11;348687.81;266018.37;635553.46;1/11/2005;348687.81;266018.37;635553.46;348687.81;266018.369999999;635553.46;348687.81;266018.369999999;635553.46
2005;12;360807;107374;1212610.53;1/12/2005;360807;107374;1212610.53;360807;107374;1212610.53;360807;107374;1212610.53
2006;1;711860.77;348503.85;708730.84;1/01/2006;711860.77;348503.85;708730.84;711860.769999999;348503.849999999;708730.84;711860.769999999;348503.849999999;708730.84
2006;2;262170.9;145048.2;767710.63;1/02/2006;262170.9;145048.2;767710.63;262170.9;145048.2;767710.63;262170.9;145048.2;767710.63
2006;3;408065.34;285783.25;744721.940000001;1/03/2006;408065.34;285783.25;744721.940000001;408065.339999999;285783.25;744721.94;408065.339999999;285783.25;744721.94
2006;4;421300.82;238824.61;935306.58;1/04/2006;421300.82;238824.61;935306.58;421300.82;238824.61;935306.58;421300.82;238824.61;935306.58
2006;5;312024.7;134212.3;822556.45;1/05/2006;312024.7;134212.3;822556.45;312024.7;134212.3;822556.449999999;312024.7;134212.3;822556.449999999
2006;6;394014.85;211562.74;361207.59;1/06/2006;394014.85;211562.74;361207.59;394014.849999999;211562.739999999;361207.59;394014.849999999;211562.739999999;361207.59
2006;7;375951.16;180942.18;971716.72;1/07/2006;375951.16;180942.18;971716.72;375951.16;180942.179999999;971716.72;375951.16;180942.179999999;971716.72
2006;8;313326.86;147245.49;603747.33;1/08/2006;313326.86;147245.49;603747.33;313326.86;147245.49;603747.329999999;313326.86;147245.49;603747.329999999
2006;9;525623.15;366193.77;473431.31;1/09/2006;525623.15;366193.77;473431.31;525623.149999999;366193.769999999;473431.31;525623.149999999;366193.769999999;473431.31
2006;10;285505;153997.35;1220719.64;1/10/2006;285505;153997.35;1220719.64;285504.999999999;153997.349999999;1220719.63999999;285504.999999999;153997.349999999;1220719.63999999
2006;11;428590.5;171327.01;431874.86;1/11/2006;428590.5;171327.01;431874.86;428590.5;171327.009999999;431874.859999999;428590.5;171327.009999999;431874.859999999
2006;12;395132.09;234319.3;890336.68;1/12/2006;395132.09;234319.3;890336.68;395132.089999999;234319.299999999;890336.68;395132.089999999;234319.299999999;890336.68
2007;1;523730.31;289550.59;818060.57;1/01/2007;523730.31;289550.59;818060.57;523730.309999999;289550.59;818060.569999999;523730.309999999;289550.59;818060.569999999
2007;2;401855.41;299077.04;822325.65;1/02/2007;401855.41;299077.04;822325.65;401855.409999999;299077.039999999;822325.649999999;401855.409999999;299077.039999999;822325.649999999
2007;3;541817.85;326317.75;569451.85;1/03/2007;541817.85;326317.75;569451.85;541817.849999999;326317.749999999;569451.849999999;541817.849999999;326317.749999999;569451.849999999
2007;4;203441.33;94844.9;850138.11;1/04/2007;203441.33;94844.9;850138.11;203441.33;94844.9;850138.11;203441.33;94844.9;850138.11
2007;5;545587.63;238404.83;793887.04;1/05/2007;545587.63;238404.83;793887.04;545587.629999999;238404.83;793887.04;545587.629999999;238404.83;793887.04
2007;6;441537.39;170064.98;855757.140000001;1/06/2007;441537.39;170064.98;855757.140000001;441537.389999999;170064.98;855757.14;441537.389999999;170064.98;855757.14
2007;7;451180.82;227660.47;1118432.25;1/07/2007;451180.82;227660.47;1118432.25;451180.819999999;227660.469999999;1118432.24999999;451180.819999999;227660.469999999;1118432.24999999
2007;8;501840.27;351306.27;824047.47;1/08/2007;501840.27;351306.27;824047.47;501840.27;351306.269999999;824047.469999999;501840.27;351306.269999999;824047.469999999
2007;9;336120.81;181015.83;497008.84;1/09/2007;336120.81;181015.83;497008.84;336120.809999999;181015.83;497008.84;336120.809999999;181015.83;497008.84
2007;10;376377.75;312120.18;885924.86;1/10/2007;376377.75;312120.18;885924.86;376377.749999999;312120.18;885924.859999999;376377.749999999;312120.18;885924.859999999
2007;11;512550.51;289282.55;665114.83;1/11/2007;512550.51;289282.55;665114.83;512550.509999999;289282.549999999;665114.83;512550.509999999;289282.549999999;665114.83
2007;12;542916.97;222108.35;812776.59;1/12/2007;542916.97;222108.35;812776.59;542916.97;222108.349999999;812776.59;542916.97;222108.349999999;812776.59
2008;1;204788.3;107885.65;613819.329999999;1/01/2008;204788.3;107885.65;613819.329999999;204788.3;107885.649999999;613819.329999999;204788.3;107885.649999999;613819.329999999
2008;2;545139.83;234830.1;500922.23;1/02/2008;545139.83;234830.1;500922.23;545139.83;234830.099999999;500922.23;545139.83;234830.099999999;500922.23
2008;3;405713.48;241800.33;1095743.35;1/03/2008;405713.48;241800.33;1095743.35;405713.48;241800.33;1095743.34999999;405713.48;241800.33;1095743.34999999
2008;4;570256.98;271554.27;682042.07;1/04/2008;570256.98;271554.27;682042.07;570256.979999999;271554.269999999;682042.07;570256.979999999;271554.269999999;682042.07
2008;5;424954.88;242628.16;710464.759999999;1/05/2008;424954.88;242628.16;710464.759999999;424954.88;242628.16;710464.759999999;424954.88;242628.16;710464.759999999
2008;6;273398.73;177838.7;817804.84;1/06/2008;273398.73;177838.7;817804.84;273398.73;177838.699999999;817804.84;273398.73;177838.699999999;817804.84
2008;7;384549.7;232129.2;541486.15;1/07/2008;384549.7;232129.2;541486.15;384549.699999999;232129.2;541486.15;384549.699999999;232129.2;541486.15
2008;8;241881.47;138376.72;713650.52;1/08/2008;241881.47;138376.72;713650.52;241881.469999999;138376.719999999;713650.519999999;241881.469999999;138376.719999999;713650.519999999
2008;9;423244.17;290621.26;544521.54;1/09/2008;423244.17;290621.26;544521.54;423244.17;290621.26;544521.54;423244.17;290621.26;544521.54
2008;10;329762.3;358036.44;344273.02;1/10/2008;329762.3;358036.44;344273.02;329762.3;358036.44;344273.02;329762.3;358036.44;344273.02
2008;11;386365.05;170365.32;809439.42;1/11/2008;386365.05;170365.32;809439.42;386365.049999999;170365.32;809439.42;386365.049999999;170365.32;809439.42
2008;12;458949.42;238398.92;524038.42;1/12/2008;458949.42;238398.92;524038.42;458949.419999999;238398.92;524038.42;458949.419999999;238398.92;524038.42
2009;1;382300.56;202484.53;941535.71;1/01/2009;382300.56;202484.53;941535.71;382300.56;202484.53;941535.709999999;382300.56;202484.53;941535.709999999
2009;2;522820.81;588346.36;914059.399999999;1/02/2009;522820.81;588346.36;914059.399999999;522820.809999999;588346.36;914059.399999999;522820.809999999;588346.36;914059.399999999
2009;3;626630.99;298459.25;893473.8;1/03/2009;626630.99;298459.25;893473.8;626630.99;298459.25;893473.8;626630.99;298459.25;893473.8
2009;4;348267.66;182218.96;816840.019999999;1/04/2009;348267.66;182218.96;816840.019999999;348267.66;182218.959999999;816840.019999999;348267.66;182218.959999999;816840.019999999
2009;5;341700.48;377337.48;621339.93;1/05/2009;341700.48;377337.48;621339.93;341700.48;377337.479999999;621339.929999999;341700.48;377337.479999999;621339.929999999
2009;6;589337.79;363676.29;735260.509999999;1/06/2009;589337.79;363676.29;735260.509999999;589337.789999999;363676.289999999;735260.509999999;589337.789999999;363676.289999999;735260.509999999
2009;7;337172.65;363911.51;850806.89;1/07/2009;337172.65;363911.51;850806.89;337172.649999999;363911.51;850806.889999999;337172.649999999;363911.51;850806.889999999
2009;8;476525.36;210495.68;842742.170000001;1/08/2009;476525.36;210495.68;842742.170000001;476525.359999999;210495.68;842742.17;476525.359999999;210495.68;842742.17
2009;9;321728.95;161783.68;611966.22;1/09/2009;321728.95;161783.68;611966.22;321728.949999999;161783.679999999;611966.22;321728.949999999;161783.679999999;611966.22
2009;10;639524.61;375067.23;869366.31;1/10/2009;639524.61;375067.23;869366.31;639524.609999999;375067.229999999;869366.31;639524.609999999;375067.229999999;869366.31
2009;11;321859.44;201213.1;894309.88;1/11/2009;321859.44;201213.1;894309.88;321859.44;201213.1;894309.88;321859.44;201213.1;894309.88
2009;12;435416.18;291525.48;1144960.66;1/12/2009;435416.18;291525.48;1144960.66;435416.18;291525.48;1144960.65999999;435416.18;291525.48;1144960.65999999
2010;1;318949.72;173918.35;905803.65;1/01/2010;318949.72;173918.35;905803.65;318949.719999999;173918.35;905803.65;318949.719999999;173918.35;905803.65
2010;2;492452.55;336005.72;447271.92;1/02/2010;492452.55;336005.72;447271.92;492452.55;336005.719999999;447271.92;492452.55;336005.719999999;447271.92
2010;3;303762.94;157798.77;947702.88;1/03/2010;303762.94;157798.77;947702.88;303762.94;157798.77;947702.88;303762.94;157798.77;947702.88
2010;4;562996.07;433108.23;613011.21;1/04/2010;562996.07;433108.23;613011.21;562996.07;433108.23;613011.21;562996.07;433108.23;613011.21
2010;5;429729.38;279926.95;1086036.16;1/05/2010;429729.38;279926.95;1086036.16;429729.38;279926.949999999;1086036.16;429729.38;279926.949999999;1086036.16
2010;6;464310.8;281834.46;587828.26;1/06/2010;464310.8;281834.46;587828.26;464310.799999999;281834.46;587828.259999999;464310.799999999;281834.46;587828.259999999
2010;7;456588.39;241994.24;712889.930000001;1/07/2010;456588.39;241994.24;712889.930000001;456588.39;241994.239999999;712889.93;456588.39;241994.239999999;712889.93
2010;8;475714.12;282509.24;637252.29;1/08/2010;475714.12;282509.24;637252.29;475714.12;282509.239999999;637252.29;475714.12;282509.239999999;637252.29
2010;9;321134.56;208796.02;741721.42;1/09/2010;321134.56;208796.02;741721.42;321134.56;208796.019999999;741721.42;321134.56;208796.019999999;741721.42
2010;10;493794.29;392100.62;630692.56;1/10/2010;493794.29;392100.62;630692.56;493794.29;392100.62;630692.559999999;493794.29;392100.62;630692.559999999
2010;11;241062.76;139547.73;565627.540000001;1/11/2010;241062.76;139547.73;565627.540000001;241062.759999999;139547.73;565627.54;241062.759999999;139547.73;565627.54
